timestamp,open_rate,high_rate,low_rate,close_rate
2020-04-15,-0.012803,0.002925,-0.012803,0.002925
2020-04-16,-0.007017,0.006363999999999999,-0.046001,0.006363999999999999
2020-04-17,0.005926,0.005926,-0.006771,-0.006771
2020-04-18,-0.003132,-0.003132,-0.019642,-0.019642
2020-04-19,-0.019142,0.008514,-0.019142,0.008514
2020-04-20,-0.00131,-0.00131,-0.005762,-0.005762
2020-04-21,-0.009179999999999999,0.01,-0.009179999999999999,0.01
2020-04-22,-0.002663,-0.002663,-0.031243999999999997,-0.031243999999999997
2020-04-23,-0.022340000000000002,0.01,-0.022340000000000002,0.01
2020-04-24,0.01,0.01,0.01,0.01
2020-04-25,0.01,0.01,0.01,0.01
2020-04-26,0.01,0.01,0.0074930000000000005,0.01
2020-04-27,0.01,0.01,0.01,0.01
2020-04-28,0.01,0.01,0.01,0.01
2020-04-29,0.01,0.01,0.01,0.01
2020-04-30,0.013208,0.097517,0.01,0.01
2020-05-01,0.021072,0.021072,0.013527999999999998,0.013527999999999998
2020-05-02,0.01,0.010144,0.01,0.010144
2020-05-03,0.01,0.019809999999999998,0.01,0.015161999999999998
2020-05-04,0.011925,0.011925,0.01,0.01
2020-05-05,0.01,0.01,0.01,0.01
2020-05-06,0.01,0.035981,0.01,0.035981
2020-05-07,0.01,0.01,0.01,0.01
2020-05-08,0.016093999999999997,0.053189999999999994,0.016093999999999997,0.053189999999999994
2020-05-09,0.042037,0.07581600000000001,0.042037,0.058018
2020-05-10,0.042326,0.042326,0.01,0.01
2020-05-11,0.01,0.01,0.01,0.01
2020-05-12,0.01,0.01,0.01,0.01
2020-05-13,0.01,0.01,0.01,0.01
2020-05-14,0.01,0.01,0.01,0.01
2020-05-15,0.01,0.01,0.0044,0.01
2020-05-16,0.01,0.01,0.01,0.01
2020-05-17,0.008001,0.008001,0.000888,0.000888
2020-05-18,0.01,0.01,-0.00664,-0.00664
2020-05-19,0.01,0.01,0.007892,0.01
2020-05-20,0.01,0.01,0.01,0.01
2020-05-21,-0.009027,0.01,-0.009027,0.01
2020-05-22,-0.00515,0.006867000000000001,-0.00515,0.006867000000000001
2020-05-23,-0.002092,0.007023,-0.002092,0.007023
2020-05-24,0.01,0.01,0.006724,0.006724
2020-05-25,0.006784,0.006784,-0.004286,-0.004226
2020-05-26,-3.5e-05,0.01,-3.5e-05,0.004599
2020-05-27,0.002104,0.01,-0.014025,-0.014025
2020-05-28,-0.011366000000000001,-0.001187,-0.011366000000000001,-0.001187
2020-05-29,0.002618,0.002618,-0.0006039999999999999,-0.0006039999999999999
2020-05-30,0.01,0.01,0.01,0.01
2020-05-31,0.01,0.01,0.01,0.01
2020-06-01,0.01,0.01,-0.002911,0.000938
2020-06-02,0.03448,0.07831,0.01,0.01
2020-06-03,0.01,0.01,0.008646,0.01
2020-06-04,0.01,0.01,0.01,0.01
2020-06-05,0.01,0.01,0.01,0.01
2020-06-06,0.01,0.01,0.01,0.01
2020-06-07,0.01,0.01,0.01,0.01
2020-06-08,0.01,0.01,0.01,0.01
2020-06-09,0.01,0.01,0.01,0.01
2020-06-10,0.01,0.01,0.01,0.01
2020-06-11,0.01,0.01,0.01,0.01
2020-06-12,0.01,0.01,-0.003816,0.009713999999999999
2020-06-13,-0.0019420000000000001,0.01,-0.0019420000000000001,0.01
2020-06-14,0.007102,0.01,0.007102,0.01
2020-06-15,0.01,0.01,-0.018213,-0.018213
2020-06-16,-0.015215000000000001,0.01,-0.015215000000000001,0.01
2020-06-17,0.007763999999999999,0.007763999999999999,-0.008320000000000001,0.007509999999999999
2020-06-18,-0.010005,0.007624000000000001,-0.011589,0.007624000000000001
2020-06-19,-0.000157,0.01,-0.000157,0.01
2020-06-20,0.01,0.01,0.001186,0.01
2020-06-21,-0.003057,0.01,-0.003057,0.01
2020-06-22,0.01,0.01,0.006784,0.01
2020-06-23,0.01,0.012214999999999998,0.01,0.012214999999999998
2020-06-24,0.011286000000000001,0.011286000000000001,0.01,0.01
2020-06-25,0.01,0.01,0.01,0.01
2020-06-26,0.009401,0.01,0.009401,0.01
2020-06-27,0.01,0.01,0.01,0.01
2020-06-28,0.01,0.01,0.004867,0.004867
2020-06-29,0.01,0.01,0.01,0.01
2020-06-30,0.01,0.01,0.01,0.01
2020-07-01,0.01,0.01,0.01,0.01
2020-07-02,0.01,0.01,0.01,0.01
2020-07-03,0.01,0.01,0.01,0.01
2020-07-04,0.01,0.01,0.01,0.01
2020-07-05,0.01,0.01,0.01,0.01
2020-07-06,0.01,0.01,0.01,0.01
2020-07-07,0.01,0.01,0.01,0.01
2020-07-08,0.01,0.01,0.01,0.01
2020-07-09,0.01,0.01,0.01,0.01
2020-07-10,0.01,0.01,0.01,0.01
2020-07-11,0.01,0.01,0.01,0.01
2020-07-12,0.01,0.01,0.01,0.01
2020-07-13,0.01,0.01,0.01,0.01
2020-07-14,0.01,0.01,0.01,0.01
2020-07-15,0.01,0.01,0.01,0.01
2020-07-16,0.01,0.01,0.01,0.01
2020-07-17,0.01,0.01,0.01,0.01
2020-07-18,0.01,0.01,0.01,0.01
2020-07-19,0.01,0.01,0.01,0.01
2020-07-20,0.01,0.01,0.01,0.01
2020-07-21,0.01,0.01,0.01,0.01
2020-07-22,0.01,0.01,0.01,0.01
2020-07-23,0.01,0.01,0.01,0.01
2020-07-24,0.01,0.01,0.01,0.01
2020-07-25,0.01,0.01,0.01,0.01
2020-07-26,0.01,0.06543700000000001,0.01,0.06543700000000001
2020-07-27,0.047138,0.086993,0.047138,0.051888
2020-07-28,0.139484,0.139484,0.097576,0.097576
2020-07-29,0.083621,0.083621,0.061856,0.061856
2020-07-30,0.061759,0.072329,0.061759,0.069174
2020-07-31,0.08265399999999999,0.08265399999999999,0.037716,0.037716
2020-08-01,0.02791,0.048996,0.02791,0.048996
2020-08-02,0.095567,0.095567,0.024752,0.024752
2020-08-03,0.025849999999999998,0.045929,0.025849999999999998,0.043731
2020-08-04,0.031113000000000002,0.038617000000000005,0.030646999999999997,0.038617000000000005
2020-08-05,0.013898,0.022044,0.013898,0.022044
2020-08-06,0.038867,0.038867,0.036099,0.036099
2020-08-07,0.031707,0.031707,0.021201,0.023934
2020-08-08,0.01,0.01,0.01,0.01
2020-08-09,0.01,0.021065999999999998,0.01,0.014574
2020-08-10,0.01,0.131898,0.01,0.030218
2020-08-11,0.013371999999999998,0.059816,0.013371999999999998,0.059816
2020-08-12,0.01,0.01,0.01,0.01
2020-08-13,0.01,0.01,0.01,0.01
2020-08-14,0.017598,0.044038,0.017598,0.027433
2020-08-15,0.01,0.03665,0.01,0.021904
2020-08-16,0.01564,0.048777,0.01564,0.031523999999999996
2020-08-17,0.026342,0.08576,0.026342,0.08576
2020-08-18,0.11990499999999998,0.11990499999999998,0.078206,0.10015600000000001
2020-08-19,0.077293,0.077293,0.024051000000000003,0.024051000000000003
2020-08-20,0.024189,0.024189,0.01159,0.018281
2020-08-21,0.01,0.01,0.01,0.01
2020-08-22,0.01,0.01,0.01,0.01
2020-08-23,0.01,0.01,0.01,0.01
2020-08-24,0.01,0.01,0.01,0.01
2020-08-25,0.01,0.04258,0.01,0.04258
2020-08-26,0.023316,0.023316,0.01,0.013038000000000001
2020-08-27,0.01,0.01,0.01,0.01
2020-08-28,0.01,0.01,0.01,0.01
2020-08-29,0.01,0.01,0.01,0.01
2020-08-30,0.01,0.01,0.01,0.01
2020-08-31,0.01,0.015461,0.01,0.015461
2020-09-01,0.01,0.04686,0.01,0.04686
2020-09-02,0.032895,0.045038,0.032895,0.045038
2020-09-03,0.021394,0.024709,0.016828,0.024709
2020-09-04,0.01,0.01,0.01,0.01
2020-09-05,0.01,0.01,0.01,0.01
2020-09-06,0.01,0.01,0.01,0.01
2020-09-07,0.01,0.01,0.01,0.01
2020-09-08,0.01,0.01,0.01,0.01
2020-09-09,0.01,0.01,0.01,0.01
2020-09-10,0.01,0.01,0.01,0.01
2020-09-11,0.01,0.01,0.01,0.01
2020-09-12,0.01,0.01,0.01,0.01
2020-09-13,0.01,0.01,0.01,0.01
2020-09-14,0.01,0.01,0.000868,0.000868
2020-09-15,-0.022269999999999998,-0.002796,-0.022269999999999998,-0.005156
2020-09-16,-0.011181,-0.001488,-0.011181,-0.0031980000000000003
2020-09-17,-0.000563,0.002957,-0.000563,9.8e-05
2020-09-18,0.009425,0.009425,0.004967,0.004967
2020-09-19,-0.01155,-0.005749,-0.01155,-0.005749
2020-09-20,-0.006476,-0.006476,-0.011198,-0.006625
2020-09-21,-0.0075060000000000005,0.01,-0.012071,0.01
2020-09-22,0.01,0.01,0.01,0.01
2020-09-23,0.004321,0.004321,-0.005506,-0.005506
2020-09-24,0.003817,0.006991,0.001182,0.001182
2020-09-25,-0.023219,0.01,-0.023219,0.01
2020-09-26,0.01,0.01,0.01,0.01
2020-09-27,0.01,0.01,0.01,0.01
2020-09-28,0.01,0.01,0.01,0.01
2020-09-29,0.01,0.01,0.01,0.01
2020-09-30,0.01,0.01,0.01,0.01
2020-10-01,0.007412,0.01,0.007412,0.01
2020-10-02,-0.000263,0.01,-0.001652,0.01
2020-10-03,0.01,0.01,0.009749,0.009749
2020-10-04,-0.002144,0.005039,-0.002144,-0.0007559999999999999
2020-10-05,-0.0033810000000000003,-0.0033810000000000003,-0.009143,-0.006912000000000001
2020-10-06,-0.000126,0.006937,-0.008313,0.006937
2020-10-07,0.0005110000000000001,0.001553,-0.0008579999999999999,0.001553
2020-10-08,0.002693,0.008856000000000001,0.002693,0.008856000000000001
2020-10-09,0.006128,0.01,0.006128,0.01
2020-10-10,0.01,0.01,0.01,0.01
2020-10-11,0.01,0.01,0.01,0.01
2020-10-12,0.01,0.01,0.01,0.01
2020-10-13,0.01,0.01,0.01,0.01
2020-10-14,0.01,0.01,0.01,0.01
2020-10-15,0.01,0.01,0.01,0.01
2020-10-16,0.01,0.01,0.01,0.01
2020-10-17,0.01,0.01,0.01,0.01
2020-10-18,0.01,0.01,0.01,0.01
2020-10-19,0.01,0.01,0.01,0.01
2020-10-20,0.01,0.01,0.0037419999999999997,0.0037419999999999997
2020-10-21,0.002291,0.01,0.002291,0.01
2020-10-22,0.01,0.01,0.01,0.01
2020-10-23,0.01,0.01,0.01,0.01
2020-10-24,0.01,0.01,0.01,0.01
2020-10-25,0.01,0.01,0.01,0.01
2020-10-26,0.01,0.01,0.01,0.01
