timestamp,open_interest,high_oi,low_oi,close_oi
2021-03-19,1878230860.3435402,1929665572.34749,1834906491.78868,1877387174.1099
2021-03-20,1879213202.6949,1964769409.1418297,1840306812.1317,1882911612.3645601
2021-03-21,1859258319.72528,1956365417.4718,1795489805.5672,1860386011.27566
2021-03-22,1753924244.78172,1886354216.1154401,1740609130.8355598,1801492923.2027998
2021-03-23,1810493471.9999998,1928054700.8,1769320016.0,1865623139.1999998
2021-03-24,1794000357.92622,1864996586.0949602,1688579526.94122,1720085198.13702
2021-03-25,1687653126.10323,1836003359.1116,1667582094.78147,1761217908.8727002
2021-03-26,1888347296.1000001,1893063477.16,1800121879.38,1815137365.18
2021-03-27,1841459000.9680002,1876340279.54,1784566975.116,1791058319.9880002
2021-03-28,1790323006.9426801,1830261642.4021602,1734749741.2450001,1741661870.06396
2021-03-29,1800103975.18068,2063817623.11104,1800103975.18068,1874223780.01548
2021-03-30,1903647719.0463202,2044782100.6256003,1881429112.0115201,2027789294.9140801
2021-03-31,2028240419.3791199,2080571864.9175599,1976207067.74024,2023846871.6714802
2021-04-01,2023391562.1872702,2055809344.62706,1955672209.9112003,1965744917.2924201
2021-04-02,1973680582.1011202,2095838720.7638402,1957467264.8889601,2039887026.81504
2021-04-03,1974344336.9188502,2049333964.9864,1944218378.66685,1981108108.1898003
2021-04-04,2019248530.41492,2044734616.30837,1942951349.6658301,1967731224.44381
2021-04-05,2001817619.1941898,2049079803.7307599,1988845568.0330098,2003299059.4045298
2021-04-06,1963282711.47273,2019188095.2438297,1913787498.95757,1946338425.93114
2021-04-07,1877891062.0674798,2007739242.6711802,1817959564.0490398,1951949560.8274
2021-04-08,2025266081.1418002,2081538077.11696,1930459724.2537599,1930459724.2537599
2021-04-09,1932245628.9892797,1934793390.0470998,1868715484.42029,1881829350.5748
2021-04-10,1935409186.3988,2141389027.9059598,1902077197.80253,2020032705.10986
2021-04-11,2028735407.4803998,2091054352.9983997,1987363304.7804,2069510213.5923998
2021-04-12,2063344753.6931598,2194418732.85306,2041995524.52252,2147537695.30244
2021-04-13,2281546641.54618,2564906239.50678,2256759025.7832,2446728459.44688
2021-04-14,2422487478.0848,2438770731.2573996,2310323122.0070996,2310323122.0070996
2021-04-15,2318148344.36655,2367041901.93325,2272418374.5089,2287634402.4107003
2021-04-16,2222228713.67238,2420617621.44102,2130317505.7593,2136057764.02014
2021-04-17,2089649160.31388,2164377558.86858,2030374082.9728398,2118109052.42068
2021-04-18,1978872875.1231,2052256509.9007502,1582305905.74875,1591606122.5718
2021-04-19,1577270339.97204,1618133298.71753,1478423884.7431898,1510756311.2012
2021-04-20,1531833269.6448,1687409701.7961597,1531833269.6448,1590781176.6336
2021-04-21,1517163228.0,1570454387.6,1476750766.2,1539745401.4
2021-04-22,1480061950.42183,1628186297.83348,1466441563.29847,1618442024.15884
2021-04-23,1599915315.86728,1797347244.60126,1590996259.0916002,1646373763.63158
2021-04-24,1613196137.3916001,1702189593.9380002,1613196137.3916001,1680518068.8336
2021-04-25,1646014918.39416,1687771177.04268,1604836338.5752,1604836338.5752
2021-04-26,1765777768.7164001,1765777768.7164001,1521638926.75574,1526474249.20951
2021-04-27,1555370311.54375,1638040909.8625,1524043867.125,1524043867.125
2021-04-28,1523424287.27101,1583154271.29373,1519725616.46115,1559830612.7047799
2021-04-29,1522784551.4232001,1667302689.9336002,1498747415.542,1625821774.2452002
2021-04-30,1751050496.96864,1906174566.98816,1719474937.67872,1844677484.01216
2021-05-01,1849544036.9708397,1966972165.5625198,1832449060.7753398,1881046450.31472
2021-05-02,1841822653.83064,1928883801.32911,1841822653.83064,1883641321.01914
2021-05-03,1903082993.9201398,2025009741.9543598,1832013993.3394501,1995152812.2819898
2021-05-04,1857358707.3399599,1902403443.8006399,1753087129.78212,1798196634.43992
2021-05-05,1941153809.07162,1945797961.45229,1788039892.45904,1793517245.0247798
2021-05-06,1760377375.5749,1928617192.50735,1753386446.5936499,1877620742.9282498
2021-05-07,1908080696.1095998,1939572006.9667199,1795574041.0416,1818748097.8776
2021-05-08,1868666972.3721,2053973778.07626,1820406942.35226,1941731178.09804
2021-05-09,1920890307.49294,1986802312.3817701,1853265143.43994,1853265143.43994
2021-05-10,1776236371.7356598,2061049222.4190197,1740549564.1534898,1833937449.5182598
2021-05-11,1861535630.2495399,1935016014.9257,1821261017.0721402,1821261017.0721402
2021-05-12,1592772692.78448,1768585148.77032,1524399928.45272,1756461366.0468001
2021-05-13,1760432866.3845,1760432866.3845,1489941860.6655,1698237447.1623
2021-05-14,1703887203.5719898,1712789233.1541,1614587118.7061899,1647699029.99786
2021-05-15,1545947483.83838,1722314279.3857,1543048632.08888,1720259253.1987302
2021-05-16,1706872795.53584,1783374366.6211197,1640909092.41504,1716266506.75328
2021-05-17,1610431511.34768,1911476908.34646,1594165642.38288,1843496153.9421
2021-05-18,1814567610.15785,1844434777.7124898,1716259324.36779,1803163215.717
2021-05-19,1542737978.946,1705472659.4160001,893730720.15216,907551776.01414
2021-05-20,1001825586.3753,1086122627.2932,959656147.5114001,986735336.5965
2021-05-21,906596453.4780998,1098637653.0544798,900982947.8449799,1079414514.54452
2021-05-22,1085841510.62908,1120907640.35406,1003517122.9799,1043705751.54756
2021-05-23,966165682.9511999,1144158477.5751998,960387216.7868,1060102289.5719999
2021-05-24,1186392730.9222,1340238118.3454201,1148197596.73738,1183666986.1801202
2021-05-25,1169845614.7528799,1276086005.5055997,1124792031.0644798,1204111074.4986
2021-05-26,1232303357.343,1393397617.4334,1184336946.0953999,1264418171.093
2021-05-27,1241955715.0077,1374286862.9150999,1191913811.05662,1228732501.75362
2021-05-28,1137635229.35451,1364163030.91674,1112867148.78999,1322411278.5934198
2021-05-29,1283149691.94852,1365606893.41648,1213616173.5332801,1329589189.47338
2021-05-30,1369534939.71037,1450324793.3151698,1304620944.054,1334181250.1455898
2021-05-31,1393741840.5418198,1496716397.0942397,1364036557.8972,1410443746.03296
2021-06-01,1389615836.56272,1444583628.8516102,1330318405.3608801,1367383776.4580503
2021-06-02,1400049622.19895,1562284090.02702,1393288789.78848,1476071407.4342399
2021-06-03,1541974457.7024002,1723161139.4822001,1525232144.8208,1704313556.8172
2021-06-04,1599252709.7303398,1640434733.57709,1517118984.53646,1520192467.7801101
2021-06-05,1465316899.6709402,1544938351.90684,1441446420.6298602,1521495382.7464201
2021-06-06,1534486029.58161,1678264408.08005,1534486029.58161,1591924001.79617
2021-06-07,1491844342.27592,1657774943.0297601,1430081755.60128,1612435115.11264
2021-06-08,1603862300.03272,1695603889.5511,1546137548.17124,1567258553.4645402
2021-06-09,1754914450.49235,2066267404.3126497,1754914450.49235,1961418820.4603999
2021-06-10,1924740289.30512,1924899068.9329202,1687419053.51058,1693498333.0936801
2021-06-11,1722628437.07016,1838904178.4264998,1720492204.71634,1772311253.69504
2021-06-12,1688525588.6696002,1778883193.64815,1683522860.4558501,1689548878.0243502
2021-06-13,1853887073.00055,2091978556.5101502,1850235551.63995,1972553835.4710002
2021-06-14,2048203476.714,2175691991.7532,2000286448.8734999,2008605906.2069
2021-06-15,1990933353.14874,2120768412.6534002,1959601629.34674,1998832142.1225
2021-06-16,1909785610.2137501,2055196715.23829,1901016000.53984,1995000979.1187
2021-06-17,1980211582.2740998,2131130366.2946198,1960362389.1591601,2032896701.42379
2021-06-18,1912757204.5380902,2027103430.5936003,1815346265.8944001,1815346265.8944001
2021-06-19,1798698558.7199998,1982420591.0040002,1789324198.501,1847781376.511
2021-06-20,1853282591.87088,2092798302.9417598,1843455251.5872002,1927722460.44288
2021-06-21,1711995627.9520001,1785947599.6,1613371949.4919999,1614054481.062
2021-06-22,1659504980.592,1873233089.856,1648846390.0800002,1677714244.1759999
2021-06-23,1737241709.819,1900825212.9020002,1708755711.432,1754053355.901
2021-06-24,1805954027.04336,1947572896.7158399,1800549567.13728,1923492481.4356802
2021-06-25,1752679355.26059,1825014525.5628,1668020831.2002,1674167450.1099
2021-06-26,1710627499.1492,1825593411.2124002,1688193402.35804,1792718867.016
2021-06-27,1927894359.0059998,1994774622.6502798,1908799919.34543,1929715671.90726
2021-06-28,1918562191.46532,2084182754.6128201,1893803954.1762002,1898753594.4778202
2021-06-29,1977156581.69106,2182889353.2415204,1970296597.3383002,2029509309.3244202
2021-06-30,1979783837.25813,2041067435.64162,1887057499.49763,1930596437.71608
2021-07-01,1845647502.86112,1959859452.10776,1827241856.2146,1884391099.8662398
2021-07-02,1899638424.74336,2006276607.6118002,1848222336.2141201,1921412171.6260202
2021-07-03,1972177928.0620203,2172193034.4009004,1959646246.75806,2053946460.7095003
2021-07-04,2091122997.5080004,2204457089.3324804,2083213044.51536,2109182629.1707203
2021-07-05,2013083730.37224,2188045499.8562403,1964901637.3605602,1998169712.28432
2021-07-06,2029815624.0450602,2078387645.1549103,1954678599.86103,1964378056.0566301
2021-07-07,1943682777.0673199,2010676058.4336,1929876632.8267198,1963762684.52088
2021-07-08,1906112877.82968,2114381177.83308,1904055124.6002,2045853432.14304
2021-07-09,2105199425.4277601,2253047022.66817,2079508631.97806,2099320193.3086002
2021-07-10,2080253366.2628002,2120873820.76232,1999473087.98674,2036752319.9691403
2021-07-11,2082708479.29583,2239071846.85909,2082708479.29583,2152214015.5425596
2021-07-12,2077888267.61712,2168243076.58371,1982891036.06167,2005396589.8684201
2021-07-13,1983458480.03694,2139846592.38132,1971962674.1019,2051909806.66173
2021-07-14,2057801605.21197,2143550149.48742,1946659463.62328,1946659463.62328
2021-07-15,1891079127.53704,2127525138.29191,1888533318.44434,2073778357.0602999
2021-07-16,2042314827.5695,2137660340.8359501,1950101395.47895,1958899982.1068501
2021-07-17,1965997050.0359502,2111444642.6547003,1928625424.4014,2082371817.3554502
2021-07-18,2100245756.9910002,2206428765.21,2031479096.7510002,2047800917.817
2021-07-19,1986987670.4266198,2246820892.6446,1971310499.88204,2222759050.164
2021-07-20,2147205655.98,2164797436.3554,2040787452.8811004,2093002679.5523999
2021-07-21,2257773772.3199997,2457006070.2000003,2181866021.7200003,2207958896.44
2021-07-22,2218140116.61907,2294657292.25341,2161114460.56212,2184034144.1459103
2021-07-23,2276514151.58526,2422420640.87202,2276025341.9780803,2311484303.26078
2021-07-24,2352412011.39,2434276992.84,2307916913.61,2344909308.84
2021-07-25,2423049660.9352803,2587935545.7189,2421716151.68262,2555740463.5737004
2021-07-26,2689228264.04505,2689228264.04505,1920799497.8008199,1998790154.26818
2021-07-27,2118242523.0686603,2344891127.77523,2059108649.25849,2196406256.16092
2021-07-28,2227632474.49392,2395567724.5125604,2208007683.5013604,2212943423.5240803
2021-07-29,2213584130.7298,2403851512.1777,2213584130.7298,2265132429.6966
2021-07-30,2390276822.92425,2494322014.46625,2216867213.74725,2273403489.309
2021-07-31,2232725628.93292,2366014751.2076902,2189165074.55866,2246083111.34262
2021-08-01,2159306651.12076,2256639384.45726,1965116397.14604,1987055436.5123398
2021-08-02,1952183161.59444,2132674927.83576,1942180784.7170403,2105210465.17704
2021-08-03,2055312313.2309601,2196536547.123,2033974493.61012,2180138332.61364
2021-08-04,2267339277.74634,2419793797.13712,2183528860.4930396,2191896870.34869
2021-08-05,2255400202.3176003,2519203618.3288,2191260990.5471997,2247323761.5504003
2021-08-06,2354017958.1368003,2530026449.8463798,2341517086.6435103,2374077089.77079
2021-08-07,2472513957.92983,2519078319.58981,2350593567.8638,2420559819.73301
2021-08-08,2376415551.63361,2527359275.7020197,2294436989.1503897,2295617549.5997
2021-08-09,2424957251.4858,2830085826.1758,2418176828.4776998,2617478604.2205
2021-08-10,2579584895.52735,2629170756.97087,2491497011.00911,2502078037.3782
2021-08-11,2498509188.12684,2586201725.47548,2445459712.45212,2564251824.13176
2021-08-12,2500203153.91182,2684243177.7212396,2484231623.1262197,2498985670.89312
2021-08-13,2690832048.68736,2837142492.2622,2555628347.7979198,2670012384.3698397
2021-08-14,2630415154.97508,2745723610.9049997,2570820841.50342,2610589463.32206
2021-08-15,2606280225.92738,2811661325.8184,2506996460.78438,2508988058.84576
2021-08-16,2451171716.42882,2715789009.18052,2339772593.67852,2610266882.3784003
2021-08-17,2540847862.6271996,2582855972.5638795,2438153021.8002,2563499358.0067997
2021-08-18,2564029778.6292996,2593304227.49457,2453352613.49359,2460975158.55816
2021-08-19,2574238458.528,2758014767.068,2514380915.772,2575413184.08
2021-08-20,2716415569.2036,2928638258.09822,2684868564.62484,2866901787.2800198
2021-08-21,2838748666.84017,2920101976.75829,2791608650.38976,2860773041.8973403
2021-08-22,2885662345.8028803,3013101968.8224,2805799819.39264,2816408800.03616
2021-08-23,2830734546.92277,3124315009.21782,2830734546.92277,3004480766.0930705
2021-08-24,2895003631.38272,3078770075.5136003,2876790630.97088,3020707067.04
