timestamp,long_liq,short_liq,long_ratio,short_ratio
2020-04-15,2124.2729999999983,279.8729999999998,88.35873528479551,11.641264715204487
2020-04-16,2839.6910000000075,5911.032000000031,32.45093005457944,67.54906994542057
2020-04-17,754.5809999999994,393.4249999999998,65.72970872974531,34.270291270254695
2020-04-18,226.80499999999992,1523.6069999999945,12.957235210910383,87.04276478908962
2020-04-19,1320.551999999999,219.91899999999993,85.72391171271644,14.276088287283569
2020-04-20,4359.979000000008,857.6659999999993,83.56220095464528,16.437799045354716
2020-04-21,423.4409999999999,651.6619999999992,39.386086728434414,60.613913271565586
2020-04-22,92.80400000000004,1899.09,4.659083264470903,95.34091673552909
2020-04-23,1270.7269999999994,10147.271000000103,11.129157668445801,88.8708423315542
2020-04-24,836.1169999999995,393.64100000000013,67.99036883679551,32.00963116320449
2020-04-25,454.68099999999953,1232.6079999999995,26.947428685897894,73.0525713141021
2020-04-26,1064.1209999999994,944.1279999999991,52.98750304369628,47.01249695630372
2020-04-27,491.29899999999975,1021.6489999999989,32.47296007529672,67.52703992470329
2020-04-28,282.95900000000006,114.23100000000005,71.24021249276164,28.759787507238354
2020-04-29,3161.3060000000023,12660.324000000108,19.980912206896384,80.01908779310362
2020-04-30,8418.858000000077,5218.68400000004,61.7329574493703,38.26704255062969
2020-05-01,1554.3699999999958,1086.718999999998,58.85337449817101,41.14662550182901
2020-05-02,683.0110000000003,577.8779999999998,54.16900298122993,45.83099701877007
2020-05-03,3254.2730000000165,1112.2739999999965,74.5273782693741,25.472621730625892
2020-05-04,2134.635999999995,893.1669999999995,70.5011521555398,29.498847844460197
2020-05-05,1521.9949999999967,1119.3039999999967,57.62297263581292,42.37702736418707
2020-05-06,1864.3109999999967,2374.5800000000013,43.98110260443115,56.01889739556886
2020-05-07,1911.9949999999956,4883.942000000017,28.134383823746333,71.86561617625367
2020-05-08,1848.1099999999958,468.3169999999997,79.7827861616187,20.217213838381294
2020-05-09,2734.731000000008,423.5310000000002,86.58974461270158,13.410255387298427
2020-05-10,23163.09300000001,3585.4010000000007,86.59587713611091,13.404122863889082
2020-05-11,7372.658000000098,3297.858000000002,69.09373454854506,30.906265451454935
2020-05-12,897.1229999999983,839.3939999999992,51.66220658939703,48.33779341060297
2020-05-13,425.5119999999996,1899.4569999999924,18.30183542232181,81.6981645776782
2020-05-14,1990.7099999999969,3372.525000000006,37.11770974048304,62.88229025951696
2020-05-15,5049.545000000039,741.1559999999984,87.20092783239899,12.799072167601015
2020-05-16,625.4749999999984,635.639999999999,49.59698362163638,50.40301637836361
2020-05-17,699.1069999999992,1781.5629999999937,28.182184651727205,71.8178153482728
2020-05-18,2063.475,829.241999999999,71.33345570963219,28.666544290367824
2020-05-19,1395.9039999999968,826.1809999999979,62.819559107774914,37.18044089222509
2020-05-20,3458.7229999999936,375.53999999999996,90.20567968342284,9.794320316577151
2020-05-21,5835.028000000064,830.962999999999,87.53429160045384,12.465708399546163
2020-05-22,572.5749999999991,753.3089999999987,43.1843962216906,56.81560377830942
2020-05-23,459.19499999999965,315.97499999999974,59.2379736057897,40.7620263942103
2020-05-24,3869.880000000014,609.3389999999994,86.39631149983965,13.603688500160352
2020-05-25,832.7029999999993,1033.667,44.616180071475625,55.38381992852437
2020-05-26,933.1829999999984,504.97700000000043,64.88728653279183,35.11271346720816
2020-05-27,426.6169999999999,2727.060000000004,13.52760602940629,86.47239397059371
2020-05-28,276.7779999999999,3153.8400000000056,8.067875817126811,91.93212418287318
2020-05-29,832.9979999999989,200.12699999999984,80.62896551724138,19.37103448275863
2020-05-30,645.5109999999994,1920.4709999999955,25.15648979610927,74.84351020389072
2020-05-31,876.3509999999994,137.51700000000005,86.43640000473434,13.563599995265669
2020-06-01,247.17700000000028,9030.44100000036,2.664229115706108,97.33577088429391
2020-06-02,4777.833000000022,487.07599999999957,90.74863402197461,9.251365978025405
2020-06-03,503.93599999999964,705.9490000000001,41.65156192530693,58.348438074693064
2020-06-04,902.473999999999,1051.1889999999987,46.19394440085112,53.80605559914887
2020-06-05,1289.0570000000016,164.13500000000002,88.70520894692513,11.294791053074874
2020-06-06,527.8559999999995,278.06299999999965,65.49740110358486,34.50259889641514
2020-06-07,1612.1819999999957,947.8009999999985,62.97627757684325,37.02372242315674
2020-06-08,270.3559999999999,206.50499999999988,56.69492787206335,43.30507212793665
2020-06-09,899.5459999999979,540.8289999999994,62.45220862622578,37.54779137377422
2020-06-10,560.968999999999,1442.961999999999,27.993428915466627,72.00657108453336
2020-06-11,7051.6380000000245,449.0809999999997,94.01282730362252,5.987172696377483
2020-06-12,505.72499999999974,673.1210000000001,42.900005598695664,57.09999440130434
2020-06-13,199.46499999999997,180.8139999999998,52.4522784587106,47.5477215412894
2020-06-14,800.8829999999992,227.49499999999998,77.87827044141355,22.12172955858645
2020-06-15,3378.3710000000347,1774.8509999999944,65.55842150794233,34.44157849205768
2020-06-16,412.74799999999976,987.2099999999984,29.482884486534616,70.51711551346538
2020-06-17,1481.1879999999976,281.6029999999997,84.02516237035472,15.97483762964527
2020-06-18,410.4749999999997,99.65500000000006,80.46478348656223,19.535216513437774
2020-06-19,468.9029999999997,344.20799999999963,57.667772296771304,42.3322277032287
2020-06-20,744.442999999999,363.01199999999966,67.22106090089439,32.77893909910562
2020-06-21,126.50200000000007,113.91500000000003,52.61774333761756,47.382256662382446
2020-06-22,131.049,3043.2120000000036,4.128488489131796,95.8715115108682
2020-06-23,254.57400000000007,49.72300000000001,83.65971402938577,16.340285970614236
