,date,positive,neutral,negative,news_count,finbert_sentiment,avg_sentiment,fear_greed_index,fear_greed_label
141,2018-06-25,,,,,,,16,Extreme Fear
142,2018-06-26,,,,,,,21,Extreme Fear
143,2018-06-27,,,,,,,18,Extreme Fear
144,2018-06-28,,,,,,,20,Extreme Fear
145,2018-06-29,,,,,,,16,Extreme Fear
146,2018-06-30,,,,,,,22,Extreme Fear
147,2018-07-01,,,,,,,27,Fear
148,2018-07-02,,,,,,,27,Fear
149,2018-07-03,,,,,,,31,Fear
150,2018-07-04,,,,,,,33,Fear
151,2018-07-05,,,,,,,37,Fear
152,2018-07-06,,,,,,,34,Fear
153,2018-07-07,,,,,,,34,Fear
154,2018-07-08,,,,,,,38,Fear
155,2018-07-09,,,,,,,39,Fear
156,2018-07-10,,,,,,,37,Fear
157,2018-07-11,,,,,,,29,Fear
158,2018-07-12,,,,,,,33,Fear
159,2018-07-13,,,,,,,29,Fear
160,2018-07-14,,,,,,,29,Fear
161,2018-07-15,,,,,,,32,Fear
162,2018-07-16,,,,,,,36,Fear
163,2018-07-17,,,,,,,39,Fear
164,2018-07-18,,,,,,,42,Fear
165,2018-07-19,,,,,,,44,Fear
166,2018-07-20,,,,,,,47,Neutral
167,2018-07-21,,,,,,,43,Fear
168,2018-07-22,,,,,,,46,Fear
169,2018-07-23,,,,,,,44,Fear
170,2018-07-24,,,,,,,49,Neutral
171,2018-07-25,,,,,,,54,Neutral
172,2018-07-26,,,,,,,53,Neutral
173,2018-07-27,,,,,,,47,Neutral
174,2018-07-28,,,,,,,54,Neutral
175,2018-07-29,,,,,,,54,Neutral
176,2018-07-30,,,,,,,53,Neutral
177,2018-07-31,,,,,,,48,Neutral
178,2018-08-01,,,,,,,39,Fear
179,2018-08-02,,,,,,,39,Fear
180,2018-08-03,,,,,,,36,Fear
181,2018-08-04,,,,,,,31,Fear
182,2018-08-05,,,,,,,23,Extreme Fear
183,2018-08-06,,,,,,,25,Extreme Fear
184,2018-08-07,,,,,,,25,Extreme Fear
185,2018-08-08,,,,,,,23,Extreme Fear
186,2018-08-09,,,,,,,19,Extreme Fear
187,2018-08-10,,,,,,,21,Extreme Fear
188,2018-08-11,,,,,,,18,Extreme Fear
189,2018-08-12,,,,,,,18,Extreme Fear
190,2018-08-13,,,,,,,21,Extreme Fear
191,2018-08-14,,,,,,,16,Extreme Fear
192,2018-08-15,,,,,,,18,Extreme Fear
193,2018-08-16,,,,,,,21,Extreme Fear
194,2018-08-17,,,,,,,19,Extreme Fear
195,2018-08-18,,,,,,,24,Extreme Fear
196,2018-08-19,,,,,,,27,Fear
197,2018-08-20,,,,,,,26,Fear
198,2018-08-21,,,,,,,19,Extreme Fear
199,2018-08-22,,,,,,,21,Extreme Fear
200,2018-08-23,,,,,,,18,Extreme Fear
201,2018-08-24,,,,,,,19,Extreme Fear
202,2018-08-25,,,,,,,22,Extreme Fear
203,2018-08-26,,,,,,,19,Extreme Fear
204,2018-08-27,,,,,,,18,Extreme Fear
205,2018-08-28,,,,,,,19,Extreme Fear
206,2018-08-29,,,,,,,19,Extreme Fear
207,2018-08-30,,,,,,,22,Extreme Fear
208,2018-08-31,,,,,,,17,Extreme Fear
209,2018-09-01,,,,,,,21,Extreme Fear
210,2018-09-02,,,,,,,18,Extreme Fear
211,2018-09-03,,,,,,,19,Extreme Fear
212,2018-09-04,,,,,,,26,Fear
213,2018-09-05,,,,,,,17,Extreme Fear
214,2018-09-06,,,,,,,14,Extreme Fear
215,2018-09-07,,,,,,,17,Extreme Fear
216,2018-09-08,,,,,,,18,Extreme Fear
217,2018-09-09,,,,,,,13,Extreme Fear
218,2018-09-10,,,,,,,15,Extreme Fear
219,2018-09-11,,,,,,,18,Extreme Fear
220,2018-09-12,,,,,,,14,Extreme Fear
221,2018-09-13,,,,,,,20,Extreme Fear
222,2018-09-14,,,,,,,23,Extreme Fear
223,2018-09-15,,,,,,,24,Extreme Fear
224,2018-09-16,,,,,,,28,Fear
225,2018-09-17,,,,,,,25,Extreme Fear
226,2018-09-18,,,,,,,21,Extreme Fear
227,2018-09-19,,,,,,,24,Extreme Fear
228,2018-09-20,,,,,,,24,Extreme Fear
229,2018-09-21,,,,,,,31,Fear
230,2018-09-22,,,,,,,35,Fear
231,2018-09-23,,,,,,,38,Fear
232,2018-09-24,,,,,,,43,Fear
233,2018-09-25,,,,,,,37,Fear
234,2018-09-26,,,,,,,37,Fear
235,2018-09-27,,,,,,,42,Fear
236,2018-09-28,,,,,,,42,Fear
237,2018-09-29,,,,,,,37,Fear
238,2018-09-30,,,,,,,34,Fear
239,2018-10-01,,,,,,,35,Fear
240,2018-10-02,,,,,,,33,Fear
241,2018-10-03,,,,,,,36,Fear
242,2018-10-04,,,,,,,29,Fear
243,2018-10-05,,,,,,,37,Fear
244,2018-10-06,,,,,,,34,Fear
245,2018-10-07,,,,,,,29,Fear
246,2018-10-08,,,,,,,26,Fear
247,2018-10-09,,,,,,,31,Fear
248,2018-10-10,,,,,,,28,Fear
249,2018-10-11,,,,,,,19,Extreme Fear
250,2018-10-12,,,,,,,13,Extreme Fear
251,2018-10-13,,,,,,,15,Extreme Fear
252,2018-10-14,,,,,,,18,Extreme Fear
253,2018-10-15,,,,,,,20,Extreme Fear
254,2018-10-16,,,,,,,24,Extreme Fear
255,2018-10-17,,,,,,,23,Extreme Fear
256,2018-10-18,,,,,,,26,Fear
257,2018-10-19,,,,,,,24,Extreme Fear
258,2018-10-20,,,,,,,21,Extreme Fear
259,2018-10-21,,,,,,,21,Extreme Fear
260,2018-10-22,,,,,,,27,Fear
261,2018-10-23,,,,,,,24,Extreme Fear
262,2018-10-24,,,,,,,23,Extreme Fear
263,2018-10-25,,,,,,,25,Extreme Fear
264,2018-10-26,,,,,,,29,Fear
265,2018-10-27,,,,,,,33,Fear
266,2018-10-28,,,,,,,35,Fear
267,2018-10-29,,,,,,,34,Fear
268,2018-10-30,,,,,,,31,Fear
269,2018-10-31,,,,,,,32,Fear
270,2018-11-01,,,,,,,29,Fear
271,2018-11-02,,,,,,,36,Fear
272,2018-11-03,,,,,,,36,Fear
273,2018-11-04,,,,,,,41,Fear
274,2018-11-05,,,,,,,42,Fear
275,2018-11-06,,,,,,,42,Fear
276,2018-11-07,,,,,,,48,Neutral
277,2018-11-08,,,,,,,51,Neutral
278,2018-11-09,,,,,,,47,Neutral
279,2018-11-10,,,,,,,52,Neutral
280,2018-11-11,,,,,,,54,Neutral
281,2018-11-12,,,,,,,52,Neutral
282,2018-11-13,,,,,,,56,Greed
283,2018-11-14,,,,,,,49,Neutral
284,2018-11-15,,,,,,,28,Fear
285,2018-11-16,,,,,,,23,Extreme Fear
286,2018-11-17,,,,,,,24,Extreme Fear
287,2018-11-18,,,,,,,26,Fear
288,2018-11-19,,,,,,,28,Fear
289,2018-11-20,,,,,,,21,Extreme Fear
290,2018-11-21,,,,,,,15,Extreme Fear
291,2018-11-22,,,,,,,14,Extreme Fear
292,2018-11-23,,,,,,,12,Extreme Fear
293,2018-11-24,,,,,,,15,Extreme Fear
294,2018-11-25,,,,,,,9,Extreme Fear
295,2018-11-26,,,,,,,17,Extreme Fear
296,2018-11-27,,,,,,,11,Extreme Fear
297,2018-11-28,,,,,,,14,Extreme Fear
298,2018-11-29,,,,,,,18,Extreme Fear
299,2018-11-30,,,,,,,19,Extreme Fear
300,2018-12-01,,,,,,,13,Extreme Fear
301,2018-12-02,,,,,,,15,Extreme Fear
302,2018-12-03,,,,,,,17,Extreme Fear
303,2018-12-04,,,,,,,12,Extreme Fear
304,2018-12-05,,,,,,,19,Extreme Fear
305,2018-12-06,,,,,,,13,Extreme Fear
306,2018-12-07,,,,,,,11,Extreme Fear
307,2018-12-08,,,,,,,11,Extreme Fear
308,2018-12-09,,,,,,,14,Extreme Fear
309,2018-12-10,,,,,,,19,Extreme Fear
310,2018-12-11,,,,,,,15,Extreme Fear
311,2018-12-12,,,,,,,14,Extreme Fear
312,2018-12-13,,,,,,,14,Extreme Fear
313,2018-12-14,,,,,,,10,Extreme Fear
314,2018-12-15,,,,,,,11,Extreme Fear
315,2018-12-16,,,,,,,13,Extreme Fear
316,2018-12-17,,,,,,,17,Extreme Fear
317,2018-12-18,,,,,,,23,Extreme Fear
318,2018-12-19,,,,,,,21,Extreme Fear
319,2018-12-20,,,,,,,27,Fear
320,2018-12-21,,,,,,,35,Fear
321,2018-12-22,,,,,,,28,Fear
322,2018-12-23,,,,,,,31,Fear
323,2018-12-24,,,,,,,25,Extreme Fear
324,2018-12-25,,,,,,,33,Fear
325,2018-12-26,,,,,,,26,Fear
326,2018-12-27,,,,,,,29,Fear
327,2018-12-28,,,,,,,21,Extreme Fear
328,2018-12-29,,,,,,,24,Extreme Fear
329,2018-12-30,,,,,,,23,Extreme Fear
330,2018-12-31,,,,,,,26,Fear
331,2019-01-01,,,,,,,24,Extreme Fear
332,2019-01-02,,,,,,,30,Fear
333,2019-01-03,,,,,,,33,Fear
334,2019-01-04,,,,,,,48,Neutral
335,2019-01-05,,,,,,,36,Fear
336,2019-01-06,,,,,,,31,Fear
337,2019-01-07,,,,,,,39,Fear
338,2019-01-08,,,,,,,39,Fear
339,2019-01-09,,,,,,,42,Fear
340,2019-01-10,,,,,,,37,Fear
341,2019-01-11,,,,,,,19,Extreme Fear
342,2019-01-12,,,,,,,22,Extreme Fear
343,2019-01-13,,,,,,,21,Extreme Fear
344,2019-01-14,,,,,,,16,Extreme Fear
345,2019-01-15,,,,,,,27,Fear
346,2019-01-16,,,,,,,24,Extreme Fear
347,2019-01-17,,,,,,,28,Fear
348,2019-01-18,,,,,,,29,Fear
349,2019-01-19,,,,,,,31,Fear
350,2019-01-20,,,,,,,35,Fear
351,2019-01-21,,,,,,,30,Fear
352,2019-01-22,,,,,,,27,Fear
353,2019-01-23,,,,,,,33,Fear
354,2019-01-24,,,,,,,37,Fear
355,2019-01-25,,,,,,,35,Fear
356,2019-01-26,,,,,,,41,Fear
357,2019-01-27,,,,,,,39,Fear
