date,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,sma_golden_cross,sma_death_cross,sma_cross_signal,ema_golden_cross,ema_death_cross,ema_cross_signal,rsi_14,rsi_signal,rsi_crossover,std_20,upper_band_20,lower_band_20,daily_return,cumulative_return,volatility_14,vol_category,macd,macd_signal,macd_histogram,high_low_spread,high_low_percent,fear_greed_index,fear_greed_label,open_interest,high_oi,low_oi,close_oi,open_rate,high_rate,low_rate,close_rate,long_liq,short_liq,long_ratio,short_ratio
2021-03-20,58879.81,59957.0,57815.61,59264.78,2500.9886767,54237.64,55058.05413054456,48902.4804,49173.30963548972,39383.4821,41252.137398146144,26501.712550000004,31560.64918856444,False,False,0,False,False,0,75.12815290718153,Overbought,False,4556.106473075342,68726.3735497706,41389.73471131853,0.006451571269229,12244.78925619836,3.2226795242454567,High,4020.613111583385,3909.539468073333,111.07364351005162,2141.3899999999994,3.703826700090165,75.0,Greed,1879213202.6949,1964769409.1418293,1840306812.1317,1882911612.36456,0.04928,0.04928,0.044452,0.048936,879.0869999999923,426.70999999999793,67.32187315486242,32.67812684513758
2021-03-21,59289.74,59389.87,55500.0,57583.82,3611.24666205,54690.118,55298.603260968885,49366.892,49503.13357135288,39778.9032,41575.5370536284,26732.598,31819.5862115638,False,False,0,False,False,0,66.94544263804956,Neutral,False,4406.798981742819,68519.00020619734,42078.20631574043,-0.0283635575800669,11897.483471074394,3.335468928280125,High,3935.334710241543,3914.698516506976,20.63619373456732,3889.8700000000026,7.00877477477478,73.0,Greed,1859258319.72528,1956365417.4718,1795489805.5672,1860386011.27566,0.031366,0.042375,0.01,0.01,2992.412000000031,577.5849999999975,83.82113486369896,16.178865136301038
2021-03-22,57571.73,58461.78,55540.0,55593.39,4164.02179626,55085.03199999999,55326.67818849566,49829.0076,49741.967156790015,40147.8295,41853.1183000912,26957.09815,32056.141473140284,False,False,0,False,False,0,60.530497740891846,Neutral,False,4089.423393162191,67594.94836798223,43058.40800900909,-0.0345657860141963,11486.2376033058,3.543401708588509,Extreme,3743.223503543064,3880.403513914194,-137.18001037112936,2921.779999999999,5.260676989557074,70.0,Greed,1753924244.78172,1886354216.11544,1740609130.8355598,1801492923.2028,0.051919,0.051919,0.045562,0.048977,4770.72100000016,492.63699999999625,90.6402528575867,9.359747142413296
2021-03-23,55540.0,56018.41,52933.03,55009.03,7101.24160997,55271.6005,55296.4259800675,50254.4422,49948.518640837465,40506.146100000005,42113.63140305969,27179.20305,32284.528423656306,False,False,0,False,False,0,52.68019697815362,Neutral,False,3990.5007516935975,67267.92823514828,43324.92372498671,-0.0105113215797777,11365.502066115716,3.1960935797991183,High,3531.034304298148,3810.529671990984,-279.4953676928367,3085.3800000000047,5.828836928473591,66.0,Greed,1810493472.0,1928054700.8,1769320016.0,1865623139.2,0.02421,0.042245,0.02421,0.042245,1780.9389999999769,700.9399999999929,71.75768842880731,28.242311571192698
2021-03-24,55002.53,57207.33,53520.0,54703.59,5318.79911946,55628.4775,55239.96541053726,50642.2278,50134.99202747129,40860.9095,42362.93751389019,27402.97635,32507.603663221915,False,False,0,False,False,0,44.29886194729955,Neutral,False,3561.1776016069684,65923.49821535817,44556.43260571636,-0.0055525429188626,11302.394628099186,2.85404240698792,High,3316.6853674222584,3711.76081107724,-395.075443654981,3687.3300000000017,6.889630044843052,65.0,Greed,1794000357.92622,1864996586.09496,1688579526.94122,1720085198.13702,0.053454,0.053454,0.016567,0.026422,4660.828000000143,1086.314999999992,81.09817347506463,18.901826524935373
2021-03-25,54703.59,54703.59,50360.0,52184.05,8039.11054045,55812.76950000001,54948.92584762896,50942.197,50215.347242080265,41187.4515,42557.41498886266,27612.56865,32703.389198911253,False,False,0,False,False,0,36.28361401079429,Neutral,False,3254.9705120297085,64713.83738371808,45184.014311539824,-0.0460580375072274,10781.828512396709,3.036754220264736,High,2990.8565995562603,3567.579968773044,-576.7233692167838,4343.5899999999965,8.625079428117546,60.0,Greed,1687653126.10323,1836003359.1116,1667582094.78147,1761217908.8727002,0.011828,0.116465,0.01,0.01,3413.0200000000686,1304.3109999999897,72.35065760702454,27.649342392975463
2021-03-26,52223.72,54056.51,51223.37,53865.81,5091.31411897,56080.76499999999,54845.77195737857,51275.5132,50358.502644351625,41519.9658,42781.34360294459,27831.1541,32913.960550165866,False,False,0,False,False,0,41.66827063255966,Neutral,False,2812.24489176287,63282.50663266718,46409.037282089965,0.032227471804124,11129.299586776871,3.20906054841094,High,2781.4067200330464,3410.345319025045,-628.9385989919983,2833.1399999999994,5.530951985392604,54.0,Neutral,1888347296.1,1893063477.16,1800121879.38,1815137365.18,0.016,0.016,0.01,0.01,459.9559999999972,1436.8429999999844,24.249063817515808,75.7509361824842
2021-03-27,53850.24,56279.0,53833.99,55842.61,2764.77094461,56352.8435,54940.70891381871,51643.8884,50573.56567790647,41845.7731,43039.98254150014,28060.43545,33142.10631583586,False,False,0,False,False,0,38.88835648300659,Neutral,False,2477.080335892445,62371.949921496045,47509.46790614137,0.0366986034369483,11537.729338842988,3.037237475204795,High,2687.260039440538,3265.728263108144,-578.4682236676058,2445.010000000002,4.541758840464922,65.0,Greed,1841459000.968,1876340279.54,1784566975.116,1791058319.9880002,0.01,0.077864,0.01,0.01,667.4649999999953,1636.8929999999864,28.965334379467105,71.0346656205329
2021-03-28,55890.66,56686.15,54677.51,55228.45,2100.199508,56574.6095,54968.112826788354,51941.62560000001,50756.11016112582,42170.0908,43281.33833275756,28285.139650000005,33361.87092960864,False,False,0,False,False,0,38.44072519728006,Neutral,False,2126.930778381144,61348.90516193179,48587.32049164492,-0.0109980532786702,11410.836776859516,3.041332473253418,High,2562.620327336743,3125.106675953864,-562.4863486171212,2008.64,3.673612788877912,74.0,Greed,1790323006.94268,1830261642.40216,1734749741.245,1741661870.06396,0.01,0.01,0.01,0.01,913.4119999999934,384.2079999999992,70.39133182287563,29.608668177124382
2021-03-29,55217.76,58402.68,54752.7,57665.67,5046.37892014,56761.70449999999,55225.023033760895,52328.554,51027.07329206206,42508.2176,43566.17658359404,28522.0509,33603.69977608019,False,False,0,False,False,0,52.66102289173188,Neutral,False,2044.456282935768,61358.3918825682,49091.65418495359,0.044129791801146,11914.394628099188,2.95273134175751,High,2565.101271851316,3013.105595133354,-448.0043232820385,3649.980000000003,6.666301387876769,72.0,Greed,1800103975.18068,2063817623.11104,1800103975.18068,1874223780.01548,0.01,0.018171,0.01,0.018171,651.9439999999944,1677.2559999999798,27.990039498540337,72.00996050145966
2021-03-30,57665.67,59388.66,57011.0,59118.91,3855.9521251,56881.2875,55595.86941149795,52656.8166,51344.40022178512,42860.62270000001,43874.15150273079,28765.9923,33857.58246487541,False,False,0,False,False,0,58.36098170236683,Neutral,False,2111.191446388248,61929.44375066269,49262.29507233321,0.025201129198707,12214.650826446295,2.972312151482681,High,2627.058973052015,2935.8962707170863,-308.8372976650712,2377.6600000000035,4.170528494501068,72.0,Greed,1903647719.04632,2044782100.6256003,1881429112.01152,2027789294.91408,0.032026,0.083501,0.027258,0.083501,380.2349999999989,689.6879999999959,35.53853875465812,64.4614612453419
2021-03-31,59118.91,59816.17,56713.45,58582.36,4338.27902719,56934.151,55880.29708659338,52887.0092,51628.24178171512,43218.2616,44165.40315614206,29006.58705,34103.60015179208,False,False,0,False,False,0,51.826898483797805,Neutral,False,2141.1842780814454,62303.84992083772,49456.744252349046,-0.0090757762617748,12103.793388429767,2.8246328745406566,High,2640.0700127133605,2876.731019116341,-236.661006402981,3102.720000000001,5.470871548107197,76.0,Extreme Greed,2028240419.37912,2080571864.91756,1976207067.74024,2023846871.67148,0.080754,0.080754,0.058414,0.058414,2564.1730000000334,850.409999999994,75.09476266940979,24.90523733059021
